Date,Market,Open,Jodi,Close,day_of_week,is_weekend,open_sum,close_sum,mirror_open,mirror_close,reverse_jodi,is_holiday,prev_jodi_distance,Predicted_Open,Predicted_Close,Predicted_Pattis,Predicted_Jodis,Actual_Jodi,Matched
04/01/2021,Time Bazar,189,86,277,Monday,0.0,18.0,16.0,634.0,722.0,68.0,0.0,,,,,,,
05/01/2021,Time Bazar,790,60,280,Tuesday,0.0,16.0,10.0,245.0,735.0,6.0,0.0,8.0,,,,,,
06/01/2021,Time Bazar,489,17,269,Wednesday,0.0,21.0,17.0,934.0,714.0,71.0,0.0,12.0,,,,,,
07/01/2021,Time Bazar,346,31,579,Thursday,0.0,13.0,21.0,891.0,24.0,13.0,0.0,8.0,,,,,,
08/01/2021,Time Bazar,140,51,155,Friday,0.0,5.0,11.0,695.0,600.0,15.0,0.0,2.0,,,,,,
09/01/2021,Time Bazar,780,57,223,Saturday,1.0,15.0,7.0,235.0,778.0,75.0,0.0,6.0,,,,,,
10/01/2021,Time Bazar,400,48,170,Sunday,1.0,4.0,8.0,955.0,625.0,84.0,0.0,2.0,,,,,,
11/01/2021,Time Bazar,246,23,670,Monday,0.0,12.0,13.0,791.0,125.0,32.0,0.0,7.0,,,,,,
12/01/2021,Time Bazar,350,85,230,Tuesday,0.0,8.0,5.0,805.0,785.0,58.0,0.0,8.0,,,,,,
13/01/2021,Time Bazar,189,85,230,Wednesday,0.0,18.0,5.0,634.0,785.0,58.0,0.0,0.0,,,,,,
14/01/2021,Time Bazar,679,22,390,Thursday,0.0,22.0,12.0,124.0,845.0,22.0,0.0,9.0,,,,,,
15/01/2021,Time Bazar,150,67,359,Friday,0.0,6.0,17.0,605.0,804.0,76.0,0.0,9.0,,,,,,
16/01/2021,Time Bazar,133,78,116,Saturday,1.0,7.0,8.0,688.0,661.0,87.0,0.0,2.0,,,,,,
17/01/2021,Time Bazar,239,41,560,Sunday,1.0,14.0,11.0,784.0,15.0,14.0,0.0,10.0,,,,,,
18/01/2021,Time Bazar,348,58,800,Monday,0.0,15.0,8.0,893.0,355.0,85.0,0.0,8.0,,,,,,
19/01/2021,Time Bazar,118,04,257,Tuesday,0.0,10.0,14.0,663.0,702.0,40.0,0.0,9.0,,,,,,
20/01/2021,Time Bazar,470,18,378,Wednesday,0.0,11.0,18.0,925.0,823.0,81.0,0.0,5.0,,,,,,
21/01/2021,Time Bazar,778,29,289,Thursday,0.0,22.0,19.0,223.0,734.0,92.0,0.0,2.0,,,,,,
22/01/2021,Time Bazar,118,05,889,Friday,0.0,10.0,25.0,663.0,334.0,50.0,0.0,6.0,,,,,,
23/01/2021,Time Bazar,567,85,780,Saturday,1.0,18.0,15.0,12.0,235.0,58.0,0.0,8.0,,,,,,
24/01/2021,Time Bazar,780,55,258,Sunday,1.0,15.0,15.0,235.0,703.0,55.0,0.0,3.0,,,,,,
25/01/2021,Time Bazar,188,76,466,Monday,0.0,17.0,16.0,633.0,911.0,67.0,0.0,3.0,,,,,,
26/01/2021,Time Bazar,Off,Off,Off,Tuesday,0.0,,,,,,1.0,,,,,,,
27/01/2021,Time Bazar,490,34,149,Wednesday,0.0,13.0,14.0,945.0,694.0,43.0,0.0,,,,,,,
28/01/2021,Time Bazar,169,65,168,Thursday,0.0,16.0,15.0,614.0,613.0,56.0,0.0,4.0,,,,,,
29/01/2021,Time Bazar,445,32,228,Friday,0.0,13.0,12.0,990.0,773.0,23.0,0.0,6.0,,,,,,
30/01/2021,Time Bazar,670,37,160,Saturday,1.0,13.0,7.0,125.0,615.0,73.0,0.0,5.0,,,,,,
31/01/2021,Time Bazar,679,21,335,Sunday,1.0,22.0,11.0,124.0,880.0,12.0,0.0,7.0,,,,,,
01/02/2021,Time Bazar,159,55,258,Monday,0.0,15.0,15.0,604.0,703.0,55.0,0.0,7.0,,,,,,
02/02/2021,Time Bazar,469,95,799,Tuesday,0.0,19.0,25.0,914.0,244.0,59.0,0.0,4.0,,,,,,
03/02/2021,Time Bazar,789,47,359,Wednesday,0.0,24.0,17.0,234.0,804.0,74.0,0.0,7.0,,,,,,
04/02/2021,Time Bazar,367,66,457,Thursday,0.0,16.0,16.0,812.0,902.0,66.0,0.0,3.0,,,,,,
05/02/2021,Time Bazar,358,62,589,Friday,0.0,16.0,22.0,803.0,34.0,26.0,0.0,4.0,,,,,,
06/02/2021,Time Bazar,338,40,190,Saturday,1.0,14.0,10.0,883.0,645.0,4.0,0.0,4.0,,,,,,
07/02/2021,Time Bazar,160,79,199,Sunday,1.0,7.0,19.0,615.0,644.0,97.0,0.0,12.0,,,,,,
08/02/2021,Time Bazar,388,97,557,Monday,0.0,19.0,17.0,833.0,2.0,79.0,0.0,4.0,,,,,,
09/02/2021,Time Bazar,660,21,489,Tuesday,0.0,12.0,21.0,115.0,934.0,12.0,0.0,13.0,,,,,,
10/02/2021,Time Bazar,169,66,114,Wednesday,0.0,16.0,6.0,614.0,669.0,66.0,0.0,9.0,,,,,,
11/02/2021,Time Bazar,690,54,248,Thursday,0.0,15.0,14.0,145.0,793.0,45.0,0.0,3.0,,,,,,
12/02/2021,Time Bazar,500,52,570,Friday,0.0,5.0,12.0,55.0,25.0,25.0,0.0,2.0,,,,,,
